Όνομα	Ωράριο	Τηλέφωνο	Τοποθεσία	Συντεταγμένες	Αστέρια	Προϊόντα	Τιμές	Ειδικές Προσφορές	Κριτική και παρατηρήσεις	Κάρτα Δημότη	Delivery
Skiniko		6980814842	Λεωφ.Φυλής 166	https://www.google.gr/maps/place/%CE%A6%CF%85%CE%BB%CE%AE%CF%82+166,+%CE%86%CE%BD%CF%89+%CE%9B%CE%B9%CF%8C%CF%83%CE%B9%CE%B1+133+41/@38.0783946,23.6988097,16.5z/data=!4m2!3m1!1s0x14a1a3d8f49ef091:0x3830bc57d193b342	0	σαλατα|σουβλακι	3|5	-	-	FALSE	TRUE
Jimmy's Coffee		2102482131	Μεγάλου Αλεξάνδρου 274	https://www.google.gr/maps/@38.0699874,23.7056115,3a,75y,181.4h,90.7t/data=!3m6!1e1!3m4!1s_fSOYf10Q-ZLJe37GS0ihw!2e0!7i13312!8i6656	0	σαλατα|σουβλακι	3|5	-	-	FALSE	TRUE
Faltso	07:00-17:00	2102312782-6987196386	Μεγάλου Αλεξάνδρου 20	https://www.google.gr/maps/place/%CE%9C%CE%B5%CE%B3.+%CE%91%CE%BB%CE%B5%CE%BE%CE%AC%CE%BD%CE%B4%CF%81%CE%BF%CF%85+20,+%CE%9A%CE%B1%CE%BC%CE%B1%CF%84%CE%B5%CF%81%CF%8C+134+51/@38.0526518,23.7174751,17z/data=!3m1!4b1!4m2!3m1!1s0x14a1a24bb3da11ff:0xf14f58457b7a82d9	0	σαλατα|σουβλακι	3|5	-	-	FALSE	TRUE
Boca	07:30-00:00	2102481029	Δημαρχείου 19	https://www.google.gr/maps/place/%CE%94%CE%B7%CE%BC%CE%B1%CF%81%CF%87%CE%B5%CE%AF%CE%BF%CF%85+19,+%CE%86%CE%BD%CF%89+%CE%9B%CE%B9%CF%8C%CF%83%CE%B9%CE%B1+133+41/@38.0805541,23.699567,17z/data=!3m1!4b1!4m2!3m1!1s0x14a1a16292f39ca7:0xd5db8a31aabe9c41?hl=el	0	σαλατα|σουβλακι	3|5	-	-	FALSE	TRUE
Plaisir	10:30-01:00	2102484893-6980888820	Πάρνηθος 30	https://www.google.gr/maps/place/%CE%A0%CE%AC%CF%81%CE%BD%CE%B7%CE%B8%CE%BF%CF%82+28,+%CE%86%CE%BD%CF%89+%CE%9B%CE%B9%CF%8C%CF%83%CE%B9%CE%B1+133+41/@38.0824551,23.7004728,17z/data=!3m1!4b1!4m2!3m1!1s0x14a1a1633b7c4c7b:0x26aed1f9f0a16db4?hl=el	0	σαλατα|σουβλακι	3|5	-	-	FALSE	TRUE
La Piazza	07:00-21:00	2102475577-6986178800	Λεωφ.Φυλής 115	https://www.google.gr/maps/place/%CE%95%CE%A3%CE%A4%CE%99%CE%91%CE%A4%CE%9F%CE%A1%CE%99%CE%91+%CE%91%CE%9D%CE%A9+%CE%9B%CE%99%CE%9F%CE%A3%CE%99%CE%A9%CE%9D+%CE%91.%CE%95./@38.0766002,23.7023061,17z/data=!4m7!1m4!3m3!1s0x14a1a3d82d62323f:0x474d7abc1f2d0e66!2zzqbPhc67zq7PgiAxMTUsIM6Gzr3PiSDOm865z4zPg865zrEgMTMzIDQy!3b1!3m1!1s0x0000000000000000:0xd181f5dec2e99fe3?hl=el	0	σαλατα|σουβλακι	3|5	-	-	FALSE	TRUE
Ernesto	08:00-00:00	2102483773	Λεωφ.Φυλής 73	https://www.google.gr/maps/place/%CE%9C%CE%97%CE%9B%CE%99%CE%9F%CE%A1%CE%94%CE%9F%CE%A3+%CE%91%CE%9B%CE%95%CE%9E%CE%91%CE%9D%CE%94%CE%A1%CE%9F%CE%A3+%CE%9B./@38.0734785,23.7068273,19z/data=!4m2!3m1!1s0x0000000000000000:0x567cb7714540f53c?hl=el	0	σαλατα|σουβλακι	3|5	-	-	FALSE	TRUE
La Bogio	07:30-23:00	6945309083-6980113603	Στρατηγού Λιόση 8 	https://www.google.gr/maps/place/%CE%A3%CF%84%CF%81.+%CE%9B%CE%B9%CF%8C%CF%83%CE%B7+8,+%CE%86%CE%BD%CF%89+%CE%9B%CE%B9%CF%8C%CF%83%CE%B9%CE%B1+133+41/@38.0782372,23.6995004,17z/data=!3m1!4b1!4m2!3m1!1s0x14a1a3d8684a758d:0xc8e7b196b24e4737	0	σαλατα|σουβλακι	3|5	-	-	FALSE	TRUE
La crepa loca		2102484959	Αχαρνών 25	https://www.google.gr/maps/place/%CE%91%CF%87%CE%B1%CF%81%CE%BD%CF%8E%CE%BD+25,+%CE%86%CE%BD%CF%89+%CE%9B%CE%B9%CF%8C%CF%83%CE%B9%CE%B1+133+41/@38.0793713,23.701371,17z/data=!3m1!4b1!4m2!3m1!1s0x14a1a162adace175:0x69c9c5f89adb4e94?hl=el	0	σαλατα|σουβλακι	3|5	-	-	FALSE	FALSE
Nivel	08:00-19:00	2102483010-6988716682	Στρατηγού Λιόση 16	https://www.google.gr/maps/@38.0783788,23.7025464,3a,75y,157.13h,80.51t/data=!3m6!1e1!3m4!1syzIAbnGTVqLjMUSfF9I3Lg!2e0!7i13312!8i6656	0	σαλατα|σουβλακι	3|6	-	-	FALSE	TRUE
